IATA,LAT,LON,CITY,STATE,AIRPT_NAME,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
AGC,40.354401,-79.930169,PITTSBURGH,PA,ALLEGHENY COUNTY AIRPORT,8,8,5,11,2,2,2,7,0,2,1
PNE,40.081944,-75.010583,PHILADELPHIA,PA,NORTHEAST PHILADELPHIA AIRPORT,8,6,6,2,3,2,16,6,1,2,4
BLM,40.186778,-74.124583,BELMAR/FARMINGDALE,NJ,MONMOUTH EXECUTIVE AIRPORT,8,5,4,4,3,46,15,13,0,0,1
BIF,31.8495,-106.38,FORT BLISS/EL PASO/,TX,BIGGS ARMY AIRFIELD (FORT BLISS),8,11,29,25,35,33,25,64,44,71,57
RIV,33.881941,-117.259015,RIVERSIDE,CA,MARCH AIR RESERVE BASE,8,24,7,14,35,42,1261,1514,1694,387,38
ORL,28.545464,-81.332937,ORLANDO,FL,EXECUTIVE AIRPORT,7,4,3,5,6,2,3,1,6,0,1
LGU,41.791222,-111.851583,LOGAN,UT,LOGAN-CACHE AIRPORT,7,9,9,8,8,12,12,159,88,0,0
GLR,45.013639,-84.703583,GAYLORD,MI,GAYLORD REGIONAL AIRPORT,7,15,15,14,12,2,254,154,1,0,2
ADW,38.810833,-76.867,CAMP SPRINGS,MD,ANDREWS AIR FORCE BASE,7,17,58,46,59,72,38,29,78,62,70
GON,41.330056,-72.045139,GROTON (NEW LONDON),CT,GROTON-NEW LONDON AIRPORT,6,8,6,5,4,1,2,1,4,0,12
MHM,63.885997,-152.301874,MINCHUMINA,AK,MINCHUMINA AIRPORT,6,58,12,10,46,65,78,64,58,32,15
MIE,40.242472,-85.39575,MUNCIE,IN,DELAWARE COUNTY REGIONAL AIRPORT,6,6,5,6,5,9,6,14,2,11,7
LCI,43.573042,-71.417842,LACONIA,NH,LACONIA MUNICIPAL AIRPORT,6,8,2,1,0,1,0,3,0,1,1
HUF,39.451472,-87.307583,TERRE HAUTE,IN,TERRE HAUTE INTERNATIONAL-HULMAN FIELD,6,36,15,17,12,11,10,20,11,8,24
NEW,30.042389,-90.02825,NEW ORLEANS,LA,LAKEFRONT AIRPORT,5,4,3,2,0,3,4,0,0,3,11
AND,34.494583,-82.709389,ANDERSON,SC,ANDERSON REGIONAL AIRPORT,5,7,10,17,25,21,11,23,4,6,3
BCT,26.3785,-80.107694,BOCA RATON,FL,BOCA RATON AIRPORT,5,1,0,3,9,0,4,6,4,0,0
APF,26.152287,-81.775793,NAPLES,FL,NAPLES MUNICIPAL AIRPORT,5,4,2,5,1,1,282,40,248,61,1
SBM,43.769769,-87.851722,SHEBOYGAN,WI,SHEBOYGAN COUNTY MEMORIAL AIRPORT,4,1,2,0,2,1,0,3,0,2,0
MTN,39.325667,-76.413778,BALTIMORE,MD,MARTIN STATE AIRPORT,4,0,0,6,4,2,2,2,3,1,0
DET,42.409194,-83.009861,DETROIT,MI,COLEMAN A. YOUNG MUNICIPAL AIRPORT,4,3,1,0,4,2,11,47,30,26,43
FXE,26.197279,-80.170706,FORT LAUDERDALE,FL,FORT LAUDERDALE EXECUTIVE AIRPORT,4,4,10,0,2,3,5,4,1,1,0
HFD,41.740393,-72.650627,HARTFORD,CT,HARTFORD-BRAINARD AIRPORT,4,2,3,6,2,2,7,9,7,0,0
FPR,27.497479,-80.372632,FORT PIERCE,FL,ST LUCIE COUNTY INTERNATIONAL AIRPORT,3,0,1,0,1,1,1,0,0,0,75
RIL,39.526306,-107.726944,RIFLE,CO,GARFIELD COUNTY REGIONAL AIRPORT,3,2,3,2,1,1,2,4,1,1,0
NJK,32.829167,-115.671667,EL CENTRO,CA,EL CENTRO NAF AIRPORT,3,92,105,2,7,2,4,2,1,1,0
PDK,33.875611,-84.301972,ATLANTA,GA,DEKALB-PEACHTREE AIRPORT,3,6,8,13,3,7,6,13,4,11,17
NHZ,43.892364,-69.93883,BRUNSWICK,ME,BRUNSWICK NAVAL AIR STATION AIRPORT,3,5,1,2,0,0,0,3,0,0,0
ROG,36.368729,-94.104474,ROGERS,AR,ROGERS MUNICIPAL AIRPORT-CARTER FIELD,3,4,7,2,2,1,1,2,1,1,2
ISM,28.289806,-81.437083,ORLANDO,FL,KISSIMMEE GATEWAY AIRPORT,2,1,0,1,0,1,0,2,2,1,0
SAC,38.512528,-121.493472,SACRAMENTO,CA,SACRAMENTO EXECUTIVE AIRPORT,2,1,2,2,4,4,0,2,0,0,0
NQA,35.356667,-89.870278,MILLINGTON,TN,MILLINGTON REGIONAL AIRPORT,2,0,1,0,1,5,10,6,3,5,7
JZI,32.700861,-80.002917,CHARLESTON,SC,CHARLESTON EXECUTIVE AIRPORT,2,1,0,0,0,0,0,0,0,0,2
BJC,39.908806,-105.117194,DENVER,CO,ROCKY MOUNTAIN METROPOLITAN AIRPORT,2,1,10,5,15,4,5,5,0,1,1
MCF,27.849333,-82.521167,TAMPA,FL,MAC DILL AIR FORCE BASE,2,1,0,5,4,2,3,7,3,2,1
IKV,41.691139,-93.5665,ANKENY,IA,ANKENY REGIONAL AIRPORT,2,3,2,1,0,0,0,0,0,0,0
OFF,41.119329,-95.90852,OMAHA,NE,OFFUTT AIR FORCE BASE,2,0,0,1,4,2,0,5,0,2,0
DVT,33.688306,-112.082556,PHOENIX,AZ,PHOENIX DEER VALLEY AIRPORT,2,4,2,2,0,0,2,2,0,0,9
NKT,34.903173,-76.880747,CHERRY POINT,NC,CHERRY POINT MARINE CORPS AIR STATION /CUNNINGHAM FIELD/,2,2,6,17,36,38,58,56,37,63,71
OKK,40.528177,-86.05899,KOKOMO,IN,KOKOMO MUNICIPAL AIRPORT,2,4,0,1,0,5,127,205,26,6,11
MHV,35.058639,-118.150556,MOJAVE,CA,MOJAVE AIRPORT,1,0,3,1,2,2,5,0,0,0,1
CCR,37.989667,-122.056889,CONCORD,CA,BUCHANAN FIELD AIRPORT,1,1,0,1,0,1,0,5,0,0,0
MFD,40.821417,-82.516639,MANSFIELD,OH,MANSFIELD LAHM REGIONAL AIRPORT,1,2,5,2,0,0,9,9,7,8,14
FTY,33.779139,-84.521361,ATLANTA,GA,FULTON COUNTY AIRPORT-BROWN FIELD,1,1,1,2,6,2,2,4,1,0,1
DMA,32.1665,-110.883167,TUCSON,AZ,DAVIS MONTHAN AIR FORCE BASE,1,1,0,0,3,2,2,7,6,5,4
CSM,35.339839,-99.200499,CLINTON,OK,CLINTON-SHERMAN AIRPORT,1,0,0,3,8,2,11,2,2,0,2
LFI,37.082833,-76.3605,HAMPTON,VA,LANGLEY AIR FORCE BASE,1,2,0,1,3,7,2,10,2,7,5
LSV,36.236197,-115.034253,LAS VEGAS,NV,NELLIS AIR FORCE BASE,1,10,7,3,11,22,20,34,16,29,35
OXR,34.200806,-119.207222,OXNARD,CA,OXNARD AIRPORT,1,2,0,1,23,0,1,1,2,0,1
HOP,36.672361,-87.492486,FORT CAMPBELL/HOPKINSVILLE,KY,CAMPBELL ARMY AIRFIELD (FORT CAMPBELL),1,0,10,3,6,13,14,5,19,23,10
POB,35.170833,-79.0145,FAYETTEVILLE,NC,POPE AIR FORCE BASE,1,5,2,5,21,53,28,28,39,21,55
CVS,34.380348,-103.319504,CLOVIS,NM,CANNON AIR FORCE BASE,1,0,0,0,1,0,0,10,2,16,20
BRY,37.814333,-85.499639,BARDSTOWN,KY,SAMUELS FIELD AIRPORT,1,0,1,0,0,0,0,0,1,0,1
HKY,35.74115,-81.38955,HICKORY,NC,HICKORY REGIONAL AIRPORT,1,10,3,6,200,12,3,2,38,3,6
MTO,39.481138,-88.280439,MATTOON,IL,COLES COUNTY MEMORIAL AIRPORT,1,2,0,1,1,4,1,11,20,4,2
6S5,46.251494,-114.12554,HAMILTON,MT,RAVALLI COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SEE,32.826222,-116.972444,SAN DIEGO/EL CAJON,CA,GILLESPIE FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
RYY,34.013157,-84.597056,ATLANTA,GA,COBB COUNTY-MC COLLUM FIELD,0,0,0,0,0,0,0,0,0,0,0
JYO,39.077972,-77.5575,LEESBURG,VA,LEESBURG EXECUTIVE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CAD,44.275333,-85.418917,CADILLAC,MI,WEXFORD COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
0B8,41.251308,-72.031611,FISHERS ISLAND,NY,ELIZABETH FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SDM,32.572272,-116.980161,SAN DIEGO,CA,BROWN FIELD MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
IXD,38.830917,-94.890306,OLATHE,KS,NEW CENTURY AIRCENTER AIRPORT,0,0,0,0,0,0,0,0,0,0,0
S59,48.283845,-115.490245,LIBBY,MT,LIBBY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GEU,33.526917,-112.295139,GLENDALE,AZ,GLENDALE MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FMY,26.586611,-81.86325,FORT MYERS,FL,PAGE FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FST,30.91525,-102.912778,FORT STOCKTON,TX,FORT STOCKTON-PECOS COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
51Z,65.143709,-149.369965,MINTO,AK,MINTO AL WRIGHT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WSN,58.732881,-157.01992,NAKNEK,AK,NAKNEK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
JVY,38.365417,-85.738194,JEFFERSONVILLE,IN,CLARK REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
COE,47.774306,-116.819583,COEUR D'ALENE,ID,COEUR D'ALENE AIR TERMINAL,0,0,0,0,0,0,0,0,0,0,0
HMN,32.851859,-106.108536,ALAMOGORDO,NM,HOLLOMAN AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
TNC,65.564033,-167.922458,TIN CITY,AK,TIN CITY LRRS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
E91,36.110881,-109.575422,CHINLE,AZ,CHINLE MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UBW,70.330819,-149.597555,KUPARUK,AK,UGNU-KUPARUK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FCI,37.406444,-77.524833,RICHMOND,VA,CHESTERFIELD COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CAR,46.8715,-68.017917,CARIBOU,ME,CARIBOU MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UGB,57.425358,-157.739866,PILOT POINT,AK,UGASHIK BAY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UGN,42.42216,-87.867907,CHICAGO/WAUKEGAN,IL,WAUKEGAN REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SGR,29.62225,-95.656528,HOUSTON,TX,SUGAR LAND REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UMT,69.371113,-152.134983,UMIAT,AK,UMIAT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SRV,61.78975,-156.588528,STONY RIVER,AK,STONY RIVER 2 AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TCT,62.992704,-156.06819,TAKOTNA,AK,TAKOTNA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PWA,35.534167,-97.647056,OKLAHOMA CITY,OK,WILEY POST AIRPORT,0,0,0,0,0,0,0,0,0,0,0
C29,43.11427,-89.531534,MIDDLETON,WI,MIDDLETON MUNICIPAL - MOREY FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
HDC,30.521687,-90.418381,HAMMOND,LA,HAMMOND NORTHSHORE REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
JKA,30.289639,-87.671778,GULF SHORES,AL,JACK EDWARDS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
OJC,38.847602,-94.737586,OLATHE,KS,JOHNSON COUNTY EXECUTIVE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
ELY,39.299694,-114.841889,ELY,NV,ELY AIRPORT /YELLAND FIELD/ AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PWT,47.49025,-122.764806,BREMERTON,WA,BREMERTON NATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TRK,39.320042,-120.139563,TRUCKEE,CA,TRUCKEE-TAHOE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
65S,48.725972,-116.295167,BONNERS FERRY,ID,BOUNDARY COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
OSU,40.079778,-83.073028,COLUMBUS,OH,OHIO STATE UNIVERSITY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MLS,46.427972,-105.88625,MILES CITY,MT,FRANK WILEY FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NBC,32.480611,-80.71925,BEAUFORT,SC,BEAUFORT MARINE CORPS AIR STATION,0,0,0,0,0,0,0,0,0,0,0
LOM,40.137556,-75.265139,PHILADELPHIA,PA,WINGS FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BVS,48.470889,-122.420861,BURLINGTON/MOUNT VERNON,WA,SKAGIT REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BDN,44.094556,-121.200222,BEND,OR,BEND MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SSI,31.151812,-81.391253,BRUNSWICK,GA,MALCOLM MC KINNON AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WLK,66.766044,-160.15277,SELAWIK,AK,ROLAND NORTON MEMORIAL AIRSTRIP,0,0,0,0,0,0,0,0,0,0,0
OUL,56.007536,-161.160367,NELSON LAGOON,AK,NELSON LAGOON AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TMB,25.647889,-80.432778,MIAMI,FL,KENDALL-TAMIAMI EXECUTIVE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
DTS,30.400061,-86.471477,DESTIN,FL,DESTIN-FORT WALTON BEACH AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CRC,65.827917,-144.076197,CIRCLE,AK,CIRCLE CITY /NEW/ AIRPORT,0,0,0,0,0,0,0,0,0,0,0
AKA,52.220586,-174.206183,ATKA,AK,ATKA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
OTM,41.106596,-92.44794,OTTUMWA,IA,OTTUMWA REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WSN,58.702083,-157.00258,SOUTH NAKNEK,AK,SOUTH NAKNEK NR 2 AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FCM,44.827467,-93.458575,MINNEAPOLIS,MN,FLYING CLOUD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UDD,33.748438,-116.274813,PALM SPRINGS,CA,BERMUDA DUNES AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STJ,39.771944,-94.909706,ST JOSEPH,MO,ROSECRANS MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BCV,61.416083,-149.508306,BIRCHWOOD,AK,BIRCHWOOD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FSP,63.01856,-154.35843,NIKOLAI,AK,NIKOLAI AIRPORT,0,0,0,0,0,0,0,0,0,0,0
AAO,37.747583,-97.221111,WICHITA,KS,COLONEL JAMES JABARA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
ZUN,35.083227,-108.791777,ZUNI PUEBLO,NM,BLACK ROCK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
0S9,48.053809,-122.810644,PORT TOWNSEND,WA,JEFFERSON COUNTY INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SZL,38.730291,-93.54799,KNOB NOSTER,MO,WHITEMAN AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
MIB,48.415769,-101.358039,MINOT,ND,MINOT AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
NXX,40.199833,-75.148167,WILLOW GROVE,PA,WILLOW GROVE NAVAL AIR STATION JOINT RESERVE BASE,0,0,0,0,0,0,0,0,0,0,0
SLI,33.790032,-118.051429,LOS ALAMITOS,CA,LOS ALAMITOS ARMY AIRFIELD,0,0,0,0,0,0,0,0,0,0,0
TRM,33.626667,-116.159667,PALM SPRINGS,CA,JACQUELINE COCHRAN REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
ALM,32.839944,-105.990583,ALAMOGORDO,NM,ALAMOGORDO-WHITE SANDS REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SLQ,61.700518,-157.165881,SLEETMUTE,AK,SLEETMUTE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
Z91,66.273996,-145.824038,BIRCH CREEK,AK,BIRCH CREEK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
IOW,41.639767,-91.548136,IOWA CITY,IA,IOWA CITY MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NUW,48.351841,-122.655958,OAK HARBOR,WA,WHIDBEY ISLAND NAVAL AIR STATION /AULT FIELD/,0,0,0,0,0,0,0,0,0,0,0
SKA,47.615058,-117.655803,SPOKANE,WA,FAIRCHILD AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
SKW,61.965295,-151.19137,SKWENTNA,AK,SKWENTNA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
32S,46.525111,-114.052806,STEVENSVILLE,MT,STEVENSVILLE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SUA,27.1817,-80.221294,STUART,FL,WITHAM FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TYQ,40.030667,-86.251444,INDIANAPOLIS,IN,INDIANAPOLIS EXECUTIVE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SVS,66.017061,-149.054369,STEVENS VILLAGE,AK,STEVENS VILLAGE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FFO,39.825968,-84.046102,DAYTON,OH,WRIGHT-PATTERSON AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
RQE,35.652056,-109.067389,WINDOW ROCK,AZ,WINDOW ROCK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
LWT,47.04925,-109.466694,LEWISTOWN,MT,LEWISTOWN MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PBV,56.577353,-169.663736,ST GEORGE,AK,SAINT GEORGE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
LRF,34.916769,-92.146542,JACKSONVILLE,AR,LITTLE ROCK AIR FORCE BASE,0,0,0,0,0,0,1,3,6,3,1
SZT,48.299528,-116.560139,SANDPOINT,ID,SANDPOINT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VRB,27.655556,-80.417944,VERO BEACH,FL,VERO BEACH MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
4K0,59.78961,-154.123833,PEDRO BAY,AK,PEDRO BAY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
HND,35.972861,-115.134444,LAS VEGAS,NV,HENDERSON EXECUTIVE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CJX,61.867861,-158.134917,CROOKED CREEK,AK,CROOKED CREEK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NFW,32.769186,-97.441533,FORT WORTH,TX,FORT WORTH NAVAL AIR STATION JRB/CARSWELL FIELD,0,0,0,0,0,0,0,0,0,0,0
PAM,30.07,-85.5765,PANAMA CITY,FL,TYNDALL AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
AJC,56.311462,-158.37324,CHIGNIK,AK,CHIGNIK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SMO,34.015833,-118.451306,SANTA MONICA,CA,SANTA MONICA MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GLD,39.370622,-101.698992,GOODLAND,KS,RENNER FIELD /GOODLAND MUNICIPAL/ AIRPORT,0,0,0,0,0,0,0,0,0,0,0
RCA,44.145094,-103.103567,RAPID CITY,SD,ELLSWORTH AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
GSB,35.339385,-77.960592,GOLDSBORO,NC,SEYMOUR JOHNSON AIR FORCE BASE,0,0,0,0,2,1,4,1,1,1,3
DYS,32.419785,-99.855383,ABILENE,TX,DYESS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
SHX,62.692306,-159.569222,SHAGELUK,AK,SHAGELUK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TTN,40.276691,-74.813468,TRENTON,NJ,TRENTON MERCER AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WBQ,66.362218,-147.406538,BEAVER,AK,BEAVER AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NHK,38.285981,-76.411781,PATUXENT RIVER,MD,PATUXENT RIVER NAVAL AIR STATION/TRAPNELL FIELD/,0,0,0,0,0,0,0,0,0,0,0
S31,48.483913,-122.937681,LOPEZ,WA,LOPEZ ISLAND AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MUO,43.043599,-115.872426,MOUNTAIN HOME,ID,MOUNTAIN HOME AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
BAD,32.501932,-93.662628,BOSSIER CITY,LA,BARKSDALE AIR FORCE BASE,0,1,0,0,7,8,7,8,6,6,11
VAD,30.9687,-83.192961,VALDOSTA,GA,MOODY AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
HEF,38.721417,-77.515444,MANASSAS,VA,MANAVAL AIR STATIONSAS REGIONAL/HARRY P. DAVIS FIELD,0,0,0,0,0,0,0,0,0,0,0
TIK,35.41474,-97.386633,OKLAHOMA CITY,OK,TINKER AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
HIF,41.123939,-111.973039,OGDEN,UT,HILL AIR FORCE BASE,0,0,0,2,6,12,5,10,8,5,8
VNY,34.209806,-118.489972,VAN NUYS,CA,VAN NUYS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
DEE,66.069561,-162.766368,DEERING,AK,DEERING AIRPORT,0,0,0,0,0,0,0,0,0,0,0
LRU,32.289417,-106.921972,LAS CRUCES,NM,LAS CRUCES INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NBG,29.827215,-90.026588,NEW ORLEANS,LA,NEW ORLEANS NAVAL AIR STATION JRB/ALVIN CALLENDER FIELD/,0,0,0,0,0,0,0,0,0,0,0
TCL,33.220628,-87.611401,TUSCALOOSA,AL,TUSCALOOSA REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
74S,48.498993,-122.662396,ANACORTES,WA,ANACORTES AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VIS,36.318667,-119.392889,VISALIA,CA,VISALIA MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SSC,33.972716,-80.470571,SUMTER,SC,SHAW AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
YIP,42.239304,-83.530965,DETROIT,MI,WILLOW RUN AIRPORT,0,0,0,0,0,0,0,0,0,0,0
4KA,60.575547,-165.271648,TUNUNAK,AK,TUNUNAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
HRT,30.427833,-86.689333,MARY ESTHER,FL,HURLBURT FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WNA,60.690333,-161.9785,NAPAKIAK,AK,NAPAKIAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
AST,46.157972,-123.878694,ASTORIA,OR,ASTORIA REGIONAL AIRPORT,0,0,0,96,148,37,6,2,0,0,0
WMO,64.689194,-163.41275,WHITE MOUNTAIN,AK,WHITE MOUNTAIN AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SKF,29.384228,-98.581167,SAN ANTONIO,TX,LACKLAND AIR FORCE BASE (KELLY FIELD ANNEX),0,0,0,0,0,0,0,0,0,0,0
TOG,59.053626,-160.396924,TOGIAK VILLAGE,AK,TOGIAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VEE,67.008675,-146.366358,VENETIE,AK,VENETIE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SDY,47.706861,-104.192556,SIDNEY,MT,SIDNEY-RICHLAND MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UIN,39.943018,-91.194464,QUINCY,IL,QUINCY REGIONAL-BALDWIN FIELD,0,0,0,0,0,0,0,0,0,0,0
4K5,57.922876,-152.50051,OUZINKIE,AK,OUZINKIE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
ARW,32.412167,-80.634354,BEAUFORT,SC,BEAUFORT COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SXP,62.520556,-164.847778,SHELDON POINT,AK,SHELDON POINT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WRB,32.640143,-83.591849,WARNER ROBINS,GA,ROBINS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
4A2,60.866746,-162.27314,ATMAUTLUAK,AK,ATMAUTLUAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SWO,36.161222,-97.085694,STILLWATER,OK,STILLWATER REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NZY,32.698195,-117.213104,SAN DIEGO,CA,NORTH ISLAND NAVAL AIR STATION /HALSEY FIELD/,0,0,0,0,0,0,0,0,0,0,0
TYE,61.076662,-151.13807,TYONEK,AK,TYONEK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
AFM,67.106314,-157.857472,AMBLER,AK,AMBLER AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BLG,61.172219,-151.043898,BELUGA,AK,BELUGA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WBB,63.515971,-162.277993,STEBBINS,AK,STEBBINS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SVC,32.636547,-108.156385,SILVER CITY,NM,GRANT COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SHG,66.888077,-157.1624,SHUNGNAK,AK,SHUNGNAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TLT,61.096833,-160.969472,TULUKSAK,AK,TULUKSAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STP,44.934623,-93.060342,ST PAUL,MN,ST. PAUL DOWNTOWN AIRPORT / HOLMAN FIELD,0,0,0,0,0,0,0,0,0,0,0
SDL,33.622889,-111.910528,SCOTTSDALE,AZ,SCOTTSDALE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
16A,60.906011,-162.440591,NUNAPITCHUK,AK,NUNAPITCHUK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SUU,38.262667,-121.9275,FAIRFIELD,CA,TRAVIS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
WRL,43.965713,-107.950831,WORLAND,WY,WORLAND MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GGV,59.876469,-163.168538,KWIGILLINGOK,AK,KWIGILLINGOK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TVF,48.065667,-96.185,THIEF RIVER FALLS,MN,THIEF RIVER FALLS REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SUS,38.662111,-90.652056,ST LOUIS,MO,SPIRIT OF ST LOUIS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
6R7,57.218103,-153.269749,OLD HARBOR,AK,OLD HARBOR AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SNP,57.167333,-170.22044,ST PAUL ISLAND,AK,ST PAUL ISLAND AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NKX,32.868346,-117.141735,SAN DIEGO,CA,MIRAMAR MARINE CORPS AIR STATION,0,0,0,0,0,0,0,0,0,0,0
